Id,SongKey,song,songwriters,lead_vocals,year,cover,Era,first_release_date,max_key,mode,avg_danceability,avg_energy,avg_loudness,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,avg_duration_ms,avg_time_signature,Song_y,lyrics,avg_popularity,core_catalogue_releases,Canonical_album,first_vocalist,Paul_Song,John_Song,George_Song,Ringo_Song,popularity,BB_name,BB_artist,BB_debut_date,BB_peak_position,BB_peak_date,BB_weeks_on_chart,RollingStonePosition,RobSegment,LauraSegment,EmilySegment,OliviaSegment,BrianSegment,JackieSegment,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Pipeline_sentiment_label,Pipeline_sentiment_score,distilbertsentiment,FinetunedSentiment_Negative,FinetunedSentiment_Positive,cluster,Cluster_Name
0,acrosstheuniverse,Across the Universe,Lennon McCartney,Lennon,1969,0,Group of Solo Artists,1970-05-08,2.0,1.0,0.3476,0.409,-10.6498,0.027999999999999997,0.5182,2.192e-05,0.23941999999999997,0.7894,140.43779999999998,223713.6,4.0,Across the universe,"Words are flowing out like endless rain into a paper cup, They slither while they pass, they slip away across the universe Pools of sorrow, waves of joy are drifting through my open mind, Possessing and caressing me. Jai guru de va om Nothing's gonna change my world, Nothing's gonna change my world.  Images of broken light which dance before me like a million eyes, That call me on and on across the universe, Thoughts meander like a restless wind inside a letter box they Tumble blindly as they make their way Across the universe Jai guru de va om Nothing's gonna change my world, Nothing's gonna change my world.  Sounds of laughter shades of earth are ringing Through my open views inviting and inciting me Limitless undying love which shines around me like a Million suns, it calls me on and on Across the universe Jai guru de va om Nothing's gonna change my world, Nothing's gonna change my world. ",41.875,Let It Be Past Masters,Let It Be,Lennon,0,1,0,0,42,,,,,,0,,5,3,4,5,4,3.0,0.049,0.819,0.133,0.9313,0.09818108379840851,0.5144625902175903,0.3873562812805176,POSITIVE,0.9603729248046875,0,0,1,4,Psychedelic Soundscape
1,actnaturally,Act Naturally,Johnny Russell Voni Morrison †,Starr,1965,1,Beatlemania,1965-08-06,7.0,1.0,0.702,0.447,-10.122,0.0308,0.366,0.0,0.153,0.944,93.02,150373.0,4.0,Act naturally,"They're gonna put me in the movies They're gonna make a big star out of me We'll make a film about a man that's sad and lonely And all I gotta so is act naturally  Well, I'll bet you I'm gonna be a big star Might win an Oscar you can never tell The movies gonna make me a big star 'Cause I can plat the part so well  Well I hope you come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally  We'll make the scene about a man that's sad and lonely And beggin down upon his bended knee I'll play the part but I won't need rehearsal All I gotta do is act naturally  Well, I'll bet you I'm gonna be a big star Might win an Oscar you can never tell The movies gonna make me a big star 'Cause I can plat the part so well  Well I hope you come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally ",51.0,Help!,Help!,Starr,0,0,0,1,51,Act Naturally,The Beatles,1965-09-25,47,1965-10-23,7,,1,1,3,3,3,3.0,0.062,0.801,0.137,0.9443,0.16150791943073273,0.48108741641044617,0.35740458965301514,POSITIVE,0.9899483919143677,0,0,1,3,Early Covers
2,allivegottodo,All I've Got to Do,Lennon McCartney,Lennon,1963,0,Beatlemania,1963-11-22,1.0,0.0,0.49,0.579,-10.301,0.0344,0.217,0.0,0.0644,0.879,119.403,122573.0,4.0,All I've got to do,"Whenever I want you around, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do.  And when I, I want to kiss you, yeah. All I gotta do, Is whisper in your ear The words you long to hear, And I'll be kissin' you.  And the same goes for me, Whenever you want me at all. I'll be here, yes I will, whenever you call. You just gotta call on me, yeah, You just gotta call on me.  And when I, I want to kiss you, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do.  And the same goes for me, Whenever you want me at all. I'll be here, yes I will, whenever you call. You just gotta call on me, yeah, You just gotta call on me. ",54.0,With the Beatles,With The Beatles,Lennon,0,1,0,0,54,,,,,,0,,3,3,3,3,3,3.0,0.0,0.796,0.204,0.9747,0.05702163279056549,0.5575173497200012,0.38546106219291687,POSITIVE,0.995162844657898,1,0,1,1,Angsty
3,allmyloving,All My Loving,Lennon McCartney,McCartney,1963,0,Beatlemania,1963-11-22,1.0,0.0,0.36533333333333334,0.572,-9.215000000000002,0.03203333333333333,0.11476666666666667,0.00154,0.5193333333333333,0.8356666666666667,107.96766666666667,129937.66666666667,4.333333333333333,All my loving,"Close your eyes and I'll kiss you, Tomorrow I'll miss you; Remember I'll always be true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you.  I'll pretend That I'm kissingÂ  the lips I am missing And hope that my draems will come true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you.  All my loving I will send to you. All my loving, darling I'll be true. ",42.6,With the Beatles,With The Beatles,McCartney,1,0,0,0,43,All My Loving,The Beatles,1964-03-28,45,1964-04-25,6,305.0,3,3,3,3,4,3.0,0.048,0.644,0.308,0.9839,0.02082560583949089,0.29995474219322205,0.6792196035385132,POSITIVE,0.999667763710022,1,0,1,0,Fab Four
4,alltogethernow,All Together Now,Lennon McCartney,McCartney (with Lennon),1969,0,Group of Solo Artists,1969-01-17,11.0,1.0,0.5965,0.422,-8.6985,0.0654,0.0941,0.0,0.4565,0.8335,96.09100000000001,130760.0,4.0,All together now,"One, two, three, four Can I have a little more? five, six, seven eight nine ten I love you.  A, B, C, D Can I bring my friend to tea? E, F, G H I J I love you.  Sail the ship, Jump the tree Skip the rope, Look at me  All together now....  Black, white, green, red Can I take my friend to bed? Pink, brown, yellow orange blue I love you  All together now....  Sail the ship, Jump the tree Skip the rope, Look at me  All together now.... ",46.0,Yellow Submarine,Yellow Submarine,McCartney,1,0,0,0,46,,,,,,0,,3,1,5,3,3,3.0,0.0,0.791,0.209,0.9663,0.0066666025668382645,0.14941641688346863,0.8439169526100159,POSITIVE,0.9997345805168152,0,0,1,5,Eclectic Experiments
5,allyouneedislove,All You Need Is Love,Lennon McCartney,Lennon,1967,0,Experimental,1967-11-27,7.0,1.0,0.39025,0.51275,-7.5680000000000005,0.031175,0.35225,2.0975e-05,0.20425,0.664,103.5115,229006.75,4.0,All you need is love,"Love, Love, Love. Love, Love, Love. Love, Love, Love.  There's nothing you can do that can't be done. Nothing you can sing that can't be sung. Nothing you can say but you can learn how to play the game. It's easy.  Nothing you can make that can't be made. No one you can save that can't be saved. Nothing you can do but you can learn how to be you in time. It's easy.  All you need is love. All you need is love. All you need is love, love. Love is all you need.  All you need is love. All you need is love. All you need is love, love. Love is all you need.  Nothing you can know that isn't known. Nothing you can see that isn't shown. Nowhere you can be that isn't where you're meant to be. It's easy.  All you need is love. All you need is love. All you need is love, love. Love is all you need.  All you need is love (All together, now!) All you need is love. (Everybody!) All you need is love, love. Love is all you need (love is all you need).  Yee-hai! Oh yeah! She loves you, yeah yeah yeah. She loves you, yeah yeah yeah. ",52.166666666666664,Magical Mystery Tour,Magical Mystery Tour,Lennon,0,1,0,0,52,All You Need Is Love,The Beatles,1967-07-22,11,1967-08-19,11,370.0,4,3,4,4,4,3.0,0.008,0.457,0.534,0.9996,0.03791419044137001,0.17471368610858917,0.7873721122741699,POSITIVE,0.9990321397781372,1,0,1,0,Fab Four
6,andiloveher,And I Love Her,Lennon McCartney,McCartney,1964,0,Beatlemania,1964-07-10,1.0,0.0,0.751,0.34199999999999997,-12.661999999999999,0.03265,0.5569999999999999,0.00064,0.10005,0.5880000000000001,116.13149999999999,144823.0,4.0,And I love her,I give her all my love That's all I do And if you saw my love You'd love her too I love her  She gives me ev'rything And tenderly The kiss my lover brings She brings to me And I love her  A love like ours Could never die As long as I Have you near me  Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her  Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her ,38.833333333333336,A Hard Day's Night,A Hard Days Night,McCartney,1,0,0,0,39,And I Love Her,The Beatles,1964-07-25,12,1964-09-05,9,,3,4,3,3,3,3.0,0.0,0.517,0.483,0.997,0.003145714523270726,0.05217410996556282,0.9446802139282227,POSITIVE,0.9997488856315613,0,0,1,2,Acoustic Beauty
7,andyourbirdcansing,And Your Bird Can Sing,Lennon McCartney,Lennon,1966,0,Experimental,1966-08-05,6.0,1.0,0.47000000000000003,0.6611666666666667,-8.0035,0.033466666666666665,0.0027695,0.24426499999999998,0.24716666666666667,0.8408333333333333,131.864,130337.66666666667,3.8333333333333335,And your bird can sing,"You tell me that you've got everything you want And your bird can sing But you don't get me, you don't get me  You say you've seen seven wonders and your bird is green But you can't see me, you can't see me  When your prized possessions start to wear you down Look in my direction, I'll be round, I'll be round  When your bird is broken will it bring you down You may be awoken, I'll be round, I'll be round  You tell me that you've heard every sound there is And your bird can swim But you can't hear me, you can't hear me ",40.714285714285715,Revolver,Revolver,Lennon,0,1,0,0,41,,,,,,0,,3,4,1,3,4,3.0,0.037,0.912,0.051,0.1531,0.33506128191947937,0.5732794404029846,0.09165927022695541,NEGATIVE,0.9381230473518372,0,0,1,5,Eclectic Experiments
8,annagotohim,Anna (Go to Him),Arthur Alexander †,Lennon,1963,1,Beatlemania,1963-03-22,2.0,1.0,0.659,0.5195,-11.3345,0.03335,0.7895,0.00815,0.15805,0.824,110.4545,173346.5,4.0,Anna (go to him),"Anna, You come and ask me, girl, To set you free, girl, You say he loves you more than me, So I will set you free, Go with him. Go with him.  Anna, Girl, before you go now, I want you to know, now, That I still love you so, But if he loves you mo', Go with him.  All of my life, I've been searchin' for a girl To love me like I love you. Oh, now.. But every girl I've ever had, Breaks my heart and leaves my sad. What am I, what am I supposed to do.  Anna, Just one more thing, girl. You give back your ring to me, and I will set you free, Go with him.  Chorus  Anna, Just one more thing, girl. You give back your ring to me, and I will set you free, Go with him. ",38.0,Please Please Me,Please Please Me,Lennon,0,1,0,0,38,,,,,,0,,3,3,3,3,3,3.0,0.025,0.743,0.233,0.9883,0.13710597157478333,0.6059117317199707,0.2569822669029236,POSITIVE,0.9835688471794128,0,0,1,3,Early Covers
9,anothergirl,Another Girl,Lennon McCartney,McCartney,1965,0,Beatlemania,1965-08-06,9.0,1.0,0.516,0.638,-7.453,0.0314,0.238,0.0,0.333,0.822,88.657,125360.0,4.0,Another girl,"For I have found another girl, another girl. You're making me say that I've got nobody but you, But as from today, well, I've got somebody that's new. I ain't no fool and I don't take what I don't want, For I have got another girl, another girl. She's sweeter than all the girls and I met quite a few. Nobody in all the world can do what she can do. And so I'm telling you, ''This time you'd better stop.'' For I have got another girl. Another girl. Who will love me till the end. Through thick and thin She will always be my friend. I don't want to say that I've been unhappy with you, But, as from today, well, I've seen somebody that's new. I ain't no fool and I don't take what I don't want, For I have got another girl. Another girl. Who will love me till the end. Through thick and thin She will always be my friend. I don't want to say that I've been unhappy with you, But, as from today, well, I've seen somebody that's new. I ain't no fool and I don't take what I don't want, For I have got another girl. Another girl. Another girl. ",52.0,Help!,Help!,McCartney,1,0,0,0,52,,,,,,0,,3,3,4,3,1,3.0,0.061,0.729,0.21,0.9901,0.05842998996376991,0.4226982891559601,0.5188717246055603,POSITIVE,0.6842094659805298,0,0,1,1,Angsty
