album,release_date,release_date_precision,name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Revolver (Super Deluxe),2022-10-28,day,Taxman - 2022 Mix,1u2yF3CsOvVOMP82AgP2gJ,0.484,0.771,7,-6.151,1,0.13,0.00225,0.0,0.718,0.679,133.603,audio_features,1u2yF3CsOvVOMP82AgP2gJ,spotify:track:1u2yF3CsOvVOMP82AgP2gJ,https://api.spotify.com/v1/tracks/1u2yF3CsOvVOMP82AgP2gJ,https://api.spotify.com/v1/audio-analysis/1u2yF3CsOvVOMP82AgP2gJ,158267,4
Revolver (Super Deluxe),2022-10-28,day,Eleanor Rigby - 2022 Mix,1Oo6F5Dn1s8hrUDUQuoCqB,0.606,0.304,0,-7.485,1,0.0414,0.853,0.0,0.34,0.808,137.891,audio_features,1Oo6F5Dn1s8hrUDUQuoCqB,spotify:track:1Oo6F5Dn1s8hrUDUQuoCqB,https://api.spotify.com/v1/tracks/1Oo6F5Dn1s8hrUDUQuoCqB,https://api.spotify.com/v1/audio-analysis/1Oo6F5Dn1s8hrUDUQuoCqB,126467,4
Revolver (Super Deluxe),2022-10-28,day,I'm Only Sleeping - 2022 Mix,7sNSyrCw3F7qnMpl938JUZ,0.559,0.479,11,-7.89,1,0.0281,0.0944,0.0,0.269,0.658,103.392,audio_features,7sNSyrCw3F7qnMpl938JUZ,spotify:track:7sNSyrCw3F7qnMpl938JUZ,https://api.spotify.com/v1/tracks/7sNSyrCw3F7qnMpl938JUZ,https://api.spotify.com/v1/audio-analysis/7sNSyrCw3F7qnMpl938JUZ,180320,4
Revolver (Super Deluxe),2022-10-28,day,Love You To - 2022 Mix,0NT88kD8fIXuwBOuXlPcmx,0.46,0.6,5,-9.108,1,0.0472,0.706,4.25e-05,0.063,0.679,124.21,audio_features,0NT88kD8fIXuwBOuXlPcmx,spotify:track:0NT88kD8fIXuwBOuXlPcmx,https://api.spotify.com/v1/tracks/0NT88kD8fIXuwBOuXlPcmx,https://api.spotify.com/v1/audio-analysis/0NT88kD8fIXuwBOuXlPcmx,179867,4
Revolver (Super Deluxe),2022-10-28,day,"Here, There And Everywhere - 2022 Mix",47gNXRKcBJxu6bOvmyUroI,0.345,0.304,7,-9.477,1,0.0297,0.87,3.14e-05,0.116,0.425,164.568,audio_features,47gNXRKcBJxu6bOvmyUroI,spotify:track:47gNXRKcBJxu6bOvmyUroI,https://api.spotify.com/v1/tracks/47gNXRKcBJxu6bOvmyUroI,https://api.spotify.com/v1/audio-analysis/47gNXRKcBJxu6bOvmyUroI,144907,4
Revolver (Super Deluxe),2022-10-28,day,Yellow Submarine - 2022 Mix,2ClyE7EHo64kkl0HKwdL3i,0.623,0.573,1,-8.421,1,0.0317,0.391,0.0,0.118,0.794,111.374,audio_features,2ClyE7EHo64kkl0HKwdL3i,spotify:track:2ClyE7EHo64kkl0HKwdL3i,https://api.spotify.com/v1/tracks/2ClyE7EHo64kkl0HKwdL3i,https://api.spotify.com/v1/audio-analysis/2ClyE7EHo64kkl0HKwdL3i,158827,4
Revolver (Super Deluxe),2022-10-28,day,She Said She Said - 2022 Mix,7BPRbnF4rPWtanG6hpRSWT,0.397,0.886,3,-6.409,1,0.0518,0.0515,0.000157,0.47,0.785,106.066,audio_features,7BPRbnF4rPWtanG6hpRSWT,spotify:track:7BPRbnF4rPWtanG6hpRSWT,https://api.spotify.com/v1/tracks/7BPRbnF4rPWtanG6hpRSWT,https://api.spotify.com/v1/audio-analysis/7BPRbnF4rPWtanG6hpRSWT,156093,4
Revolver (Super Deluxe),2022-10-28,day,Good Day Sunshine - 2022 Mix,6MFGQhBwQIACyGGBtmbhC3,0.787,0.552,4,-7.15,1,0.0436,0.605,0.0,0.107,0.746,117.169,audio_features,6MFGQhBwQIACyGGBtmbhC3,spotify:track:6MFGQhBwQIACyGGBtmbhC3,https://api.spotify.com/v1/tracks/6MFGQhBwQIACyGGBtmbhC3,https://api.spotify.com/v1/audio-analysis/6MFGQhBwQIACyGGBtmbhC3,129213,3
Revolver (Super Deluxe),2022-10-28,day,And Your Bird Can Sing - 2022 Mix,4P3VPAvME1i9qVk0MIubTa,0.543,0.801,4,-5.589,1,0.0288,0.00389,0.732,0.262,0.969,132.625,audio_features,4P3VPAvME1i9qVk0MIubTa,spotify:track:4P3VPAvME1i9qVk0MIubTa,https://api.spotify.com/v1/tracks/4P3VPAvME1i9qVk0MIubTa,https://api.spotify.com/v1/audio-analysis/4P3VPAvME1i9qVk0MIubTa,120533,4
Revolver (Super Deluxe),2022-10-28,day,For No One - 2022 Mix,6aVssog265SY3b7EuhLDPf,0.433,0.535,1,-8.197,0,0.0289,0.808,0.0,0.136,0.751,81.896,audio_features,6aVssog265SY3b7EuhLDPf,spotify:track:6aVssog265SY3b7EuhLDPf,https://api.spotify.com/v1/tracks/6aVssog265SY3b7EuhLDPf,https://api.spotify.com/v1/audio-analysis/6aVssog265SY3b7EuhLDPf,119800,4
Revolver (Super Deluxe),2022-10-28,day,Doctor Robert - 2022 Mix,1umzslyJ3pAk8dfQSmopbf,0.41,0.718,4,-6.981,1,0.0482,0.0531,0.398,0.132,0.562,164.542,audio_features,1umzslyJ3pAk8dfQSmopbf,spotify:track:1umzslyJ3pAk8dfQSmopbf,https://api.spotify.com/v1/tracks/1umzslyJ3pAk8dfQSmopbf,https://api.spotify.com/v1/audio-analysis/1umzslyJ3pAk8dfQSmopbf,134413,4
Revolver (Super Deluxe),2022-10-28,day,I Want To Tell You - 2022 Mix,6qBlZMIYjIe1VFMcMYqBaq,0.512,0.59,9,-8.351,1,0.0333,0.0972,0.0,0.271,0.437,126.833,audio_features,6qBlZMIYjIe1VFMcMYqBaq,spotify:track:6qBlZMIYjIe1VFMcMYqBaq,https://api.spotify.com/v1/tracks/6qBlZMIYjIe1VFMcMYqBaq,https://api.spotify.com/v1/audio-analysis/6qBlZMIYjIe1VFMcMYqBaq,147813,4
Revolver (Super Deluxe),2022-10-28,day,Got To Get You Into My Life - 2022 Mix,6LlIY8CP2T59E7ER705yrx,0.526,0.629,0,-5.947,1,0.0309,0.221,7.92e-06,0.0742,0.645,136.555,audio_features,6LlIY8CP2T59E7ER705yrx,spotify:track:6LlIY8CP2T59E7ER705yrx,https://api.spotify.com/v1/tracks/6LlIY8CP2T59E7ER705yrx,https://api.spotify.com/v1/audio-analysis/6LlIY8CP2T59E7ER705yrx,149480,4
Revolver (Super Deluxe),2022-10-28,day,Tomorrow Never Knows - 2022 Mix,2JWP3EPVXHxnYatwaWkf08,0.215,0.657,5,-5.909,1,0.0386,3.65e-05,2.97e-05,0.31,0.0381,91.033,audio_features,2JWP3EPVXHxnYatwaWkf08,spotify:track:2JWP3EPVXHxnYatwaWkf08,https://api.spotify.com/v1/tracks/2JWP3EPVXHxnYatwaWkf08,https://api.spotify.com/v1/audio-analysis/2JWP3EPVXHxnYatwaWkf08,177613,3
Revolver (Super Deluxe),2022-10-28,day,Tomorrow Never Knows - Take 1,7EmuX4xggBux5tRkiY7fFG,0.426,0.815,0,-8.103,1,0.0912,0.0357,0.893,0.678,0.199,116.635,audio_features,7EmuX4xggBux5tRkiY7fFG,spotify:track:7EmuX4xggBux5tRkiY7fFG,https://api.spotify.com/v1/tracks/7EmuX4xggBux5tRkiY7fFG,https://api.spotify.com/v1/audio-analysis/7EmuX4xggBux5tRkiY7fFG,212880,4
Revolver (Super Deluxe),2022-10-28,day,Tomorrow Never Knows - Mono Mix RM 11,5XcOFZ3sAjaEfbO9XIL6cW,0.306,0.71,5,-5.891,1,0.0466,0.00349,3.11e-06,0.112,0.205,124.478,audio_features,5XcOFZ3sAjaEfbO9XIL6cW,spotify:track:5XcOFZ3sAjaEfbO9XIL6cW,https://api.spotify.com/v1/tracks/5XcOFZ3sAjaEfbO9XIL6cW,https://api.spotify.com/v1/audio-analysis/5XcOFZ3sAjaEfbO9XIL6cW,185547,4
Revolver (Super Deluxe),2022-10-28,day,Got To Get You Into My Life - First Version / Take 5,19k48bmXJ4dTFl77JeOr1s,0.502,0.499,0,-12.446,1,0.0624,0.349,0.0,0.304,0.295,130.21,audio_features,19k48bmXJ4dTFl77JeOr1s,spotify:track:19k48bmXJ4dTFl77JeOr1s,https://api.spotify.com/v1/tracks/19k48bmXJ4dTFl77JeOr1s,https://api.spotify.com/v1/audio-analysis/19k48bmXJ4dTFl77JeOr1s,250107,4
Revolver (Super Deluxe),2022-10-28,day,Got To Get You Into My Life - Second Version / Unnumbered Mix,7fuR1Ez3DQlgGG1Q5zjmwG,0.527,0.702,7,-7.746,1,0.0433,0.142,0.00172,0.668,0.517,136.411,audio_features,7fuR1Ez3DQlgGG1Q5zjmwG,spotify:track:7fuR1Ez3DQlgGG1Q5zjmwG,https://api.spotify.com/v1/tracks/7fuR1Ez3DQlgGG1Q5zjmwG,https://api.spotify.com/v1/audio-analysis/7fuR1Ez3DQlgGG1Q5zjmwG,156173,4
Revolver (Super Deluxe),2022-10-28,day,Got To Get You Into My Life - Second Version / Take 8,3JLP2jBlQD16iWF6zsokF1,0.538,0.503,0,-9.675,1,0.0269,0.00551,0.831,0.734,0.564,136.743,audio_features,3JLP2jBlQD16iWF6zsokF1,spotify:track:3JLP2jBlQD16iWF6zsokF1,https://api.spotify.com/v1/tracks/3JLP2jBlQD16iWF6zsokF1,https://api.spotify.com/v1/audio-analysis/3JLP2jBlQD16iWF6zsokF1,162627,4
